,name,country_code,pct_agreement_w_usa,pct_agreement_w_china,pct_agreement_w_russia,cluster,period,pct_agreement_w_cccp
25,ANDORRA,AND,69.27,62.17,71.16,1,1991-2025,
26,ARGENTINA,ARG,64.95,76.36,79.43,1,1991-2025,
27,AUSTRALIA,AUS,68.14,60.86,65.31,1,1991-2025,
28,AUSTRIA,AUT,70.2,64.13,73.91,1,1991-2025,
29,BELGIUM,BEL,69.85,63.34,72.75,1,1991-2025,
30,BULGARIA,BGR,68.49,62.86,72.12,1,1991-2025,
31,BOSNIA AND HERZEGOVINA,BIH,55.61,55.79,58.03,1,1991-2025,
32,CANADA,CAN,72.13,60.38,68.5,1,1991-2025,
33,SWITZERLAND,CHE,67.18,66.02,71.56,1,1991-2025,
34,CZECHOSLOVAKIA,CSK,61.29,50.77,72.06,1,1991-2025,
35,CYPRUS,CYP,66.6,71.08,69.62,1,1991-2025,
36,CZECH REPUBLIC,CZE,70.76,64.13,73.48,1,1991-2025,
37,GERMANY,DEU,70.59,63.86,73.7,1,1991-2025,
38,DENMARK,DNK,70.8,64.83,74.66,1,1991-2025,
39,SPAIN,ESP,70.35,65.85,74.94,1,1991-2025,
40,ESTONIA,EST,69.72,61.58,72.38,1,1991-2025,
41,FINLAND,FIN,71.01,64.02,74.49,1,1991-2025,
42,FRANCE,FRA,74.76,59.28,68.64,1,1991-2025,
43,MICRONESIA (FEDERATED STATES OF),FSM,72.51,36.25,46.37,1,1991-2025,
44,UNITED KINGDOM,GBR,76.38,61.62,72.3,1,1991-2025,
45,GEORGIA,GEO,62.85,55.39,66.94,1,1991-2025,
46,GREECE,GRC,67.79,63.92,72.17,1,1991-2025,
47,HONDURAS,HND,58.34,72.85,65.12,1,1991-2025,
48,CROATIA,HRV,67.47,60.05,70.56,1,1991-2025,
49,HUNGARY,HUN,69.93,62.63,73.0,1,1991-2025,
50,IRELAND,IRL,69.6,64.59,74.22,1,1991-2025,
51,ICELAND,ISL,70.27,64.42,73.61,1,1991-2025,
52,ISRAEL,ISR,81.18,42.59,55.5,1,1991-2025,
53,ITALY,ITA,70.14,64.05,73.08,1,1991-2025,
54,JAPAN,JPN,67.23,65.26,75.15,1,1991-2025,
55,REPUBLIC OF KOREA,KOR,66.63,64.37,73.39,1,1991-2025,
56,LIECHTENSTEIN,LIE,68.97,63.75,73.6,1,1991-2025,
57,LITHUANIA,LTU,69.97,61.41,72.42,1,1991-2025,
58,LUXEMBOURG,LUX,70.38,64.12,73.85,1,1991-2025,
59,LATVIA,LVA,70.45,60.4,71.87,1,1991-2025,
60,MONACO,MCO,70.45,59.26,68.98,1,1991-2025,
61,REPUBLIC OF MOLDOVA,MDA,67.12,59.52,70.05,1,1991-2025,
62,MARSHALL ISLANDS,MHL,69.3,46.84,52.83,1,1991-2025,
63,THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA,MKD,64.06,60.35,69.16,1,1991-2025,
64,MALTA,MLT,69.57,68.64,70.42,1,1991-2025,
65,MONTENEGRO,MNE,71.1,65.0,71.35,1,1991-2025,
66,NETHERLANDS (KINGDOM OF THE),NLD,70.14,64.03,73.78,1,1991-2025,
67,NORWAY,NOR,69.96,64.2,73.7,1,1991-2025,
68,NEW ZEALAND,NZL,66.6,67.93,73.66,1,1991-2025,
69,POLAND,POL,70.84,63.31,73.88,1,1991-2025,
70,PORTUGAL,PRT,69.99,65.06,74.4,1,1991-2025,
71,ROMANIA,ROU,70.06,62.29,72.87,1,1991-2025,
72,SERBIA AND MONTENEGRO,SCG,71.67,66.31,78.61,1,1991-2025,
73,SAN MARINO,SMR,64.78,59.36,66.8,1,1991-2025,
74,SERBIA,SRB,58.35,68.23,77.15,1,1991-2025,
75,SLOVAKIA,SVK,70.14,64.2,73.44,1,1991-2025,
76,SLOVENIA,SVN,69.75,63.06,72.55,1,1991-2025,
77,SWEDEN,SWE,70.51,65.24,74.62,1,1991-2025,
78,TURKEY,TUR,62.25,74.56,71.74,1,1991-2025,
79,UKRAINE,UKR,65.5,65.99,72.69,1,1991-2025,
80,UNITED STATES,USA,100.0,38.05,54.58,1,1991-2025,
81,SAMOA,WSM,55.56,62.28,61.99,1,1991-2025,
82,AFGHANISTAN,AFG,37.35,70.28,59.18,2,1991-2025,
83,ANGOLA,AGO,36.76,74.53,64.21,2,1991-2025,
84,UNITED ARAB EMIRATES,ARE,44.55,87.82,72.22,2,1991-2025,
85,ARMENIA,ARM,54.63,71.42,76.86,2,1991-2025,
86,ANTIGUA AND BARBUDA,ATG,45.43,76.4,67.34,2,1991-2025,
87,AZERBAIJAN,AZE,43.89,77.25,73.3,2,1991-2025,
88,BURUNDI,BDI,31.96,65.48,56.54,2,1991-2025,
89,BENIN,BEN,39.98,72.36,62.43,2,1991-2025,
90,BURKINA FASO,BFA,40.89,82.03,68.55,2,1991-2025,
91,BANGLADESH,BGD,46.49,87.24,72.86,2,1991-2025,
92,BAHRAIN,BHR,45.96,87.95,72.62,2,1991-2025,
93,BAHAMAS,BHS,54.1,77.99,70.68,2,1991-2025,
94,BELARUS,BLR,44.25,79.36,81.31,2,1991-2025,
95,BELIZE,BLZ,48.95,78.57,68.73,2,1991-2025,
96,BOLIVIA (PLURINATIONAL STATE OF),BOL,46.56,81.23,71.68,2,1991-2025,
97,BRAZIL,BRA,52.15,82.94,71.79,2,1991-2025,
98,BARBADOS,BRB,51.73,80.18,70.85,2,1991-2025,
99,BRUNEI DARUSSALAM,BRN,44.98,88.8,73.33,2,1991-2025,
100,BHUTAN,BTN,39.7,77.04,66.27,2,1991-2025,
101,BOTSWANA,BWA,48.53,78.79,68.34,2,1991-2025,
102,CHILE,CHL,59.33,83.18,71.89,2,1991-2025,
